rile,0.5581517,0.699003687,"{""Name"":""rile"",""Count"":0.558},",,,,,,,,"{""Name"":""rile"",""Count"":0.558},",,,,,,,botch,0.072197155,0.002806598
razor,0.557768763,0.065312396,"{""Name"":""razor"",""Count"":0.558},",,,,,,,,"{""Name"":""razor"",""Count"":0.558},",,,,,,,bosom,0.076456063,0.00285322
trippler,0.553467114,0.928533844,"{""Name"":""trippler"",""Count"":0.553},",,,,,,,,"{""Name"":""trippler"",""Count"":0.553},",,,,,,,toba,0.028501648,0.002935527
silico,0.551722414,0.000657264,"{""Name"":""silico"",""Count"":0.552},",,,,,,,,"{""Name"":""silico"",""Count"":0.552},",,,,,,,chug,0.006303524,0.002947765
bassinet,0.551449521,0.679417132,"{""Name"":""bassinet"",""Count"":0.551},",,,,,,,,"{""Name"":""bassinet"",""Count"":0.551},",,,,,,,utrecht,0.028927027,0.002970721
orthodox,0.55076197,0.315712879,"{""Name"":""orthodox"",""Count"":0.551},",,,,,,,,"{""Name"":""orthodox"",""Count"":0.551},",,,,,,,subperiod,0.035030753,0.00299412
refashion,0.547166175,0.241032972,"{""Name"":""refashion"",""Count"":0.547},",,,,,,,,"{""Name"":""refashion"",""Count"":0.547},",,,,,,,katharina,0.189803405,0.002999639
beachcomb,0.544984307,0.806083805,"{""Name"":""beachcomb"",""Count"":0.545},",,,,,,,,"{""Name"":""beachcomb"",""Count"":0.545},",,,,,,,camilla,0.017868486,0.003020358
idiom,0.544848804,0.193434463,"{""Name"":""idiom"",""Count"":0.545},",,,,,,,,"{""Name"":""idiom"",""Count"":0.545},",,,,,,,bidder,0.141543318,0.003056253
shakeout,0.542851786,0.329277188,"{""Name"":""shakeout"",""Count"":0.543},",,,,,,,,"{""Name"":""shakeout"",""Count"":0.543},",,,,,,,winnow,0.079489212,0.003151809
teck,0.541798801,0.958396441,"{""Name"":""teck"",""Count"":0.542},",,,,,,,,"{""Name"":""teck"",""Count"":0.542},",,,,,,,staffer,0.046577278,0.003197726
outlay,0.541634003,0.240511594,"{""Name"":""outlay"",""Count"":0.542},",,,,,,,,"{""Name"":""outlay"",""Count"":0.542},",,,,,,,ratch,0.01679779,0.003217143
za,0.540905485,0.213227732,"{""Name"":""za"",""Count"":0.541},",,,,,,,,"{""Name"":""za"",""Count"":0.541},",,,,,,,shone,0.048374487,0.003223477
alkaloid,0.540450434,0.545463151,"{""Name"":""alkaloid"",""Count"":0.54},",,,,,,,,"{""Name"":""alkaloid"",""Count"":0.54},",,,,,,,cesspit,0.041521174,0.00324673
pabulum,0.540189254,0.107525813,"{""Name"":""pabulum"",""Count"":0.54},",,,,,,,,"{""Name"":""pabulum"",""Count"":0.54},",,,,,,,sud,0.06741927,0.003348579
tsunami,0.53924008,0.83945645,"{""Name"":""tsunami"",""Count"":0.539},",,,,,,,,"{""Name"":""tsunami"",""Count"":0.539},",,,,,,,oberon,0.065383451,0.003353048
bice,0.535697213,0.770550217,"{""Name"":""bice"",""Count"":0.536},",,,,,,,,"{""Name"":""bice"",""Count"":0.536},",,,,,,,intelligent,0.039475163,0.003570371
tireless,0.535666868,0.903255991,"{""Name"":""tireless"",""Count"":0.536},",,,,,,,,"{""Name"":""tireless"",""Count"":0.536},",,,,,,,betsey,0.168878286,0.00357768
syndic,0.534444806,0.362400766,"{""Name"":""syndic"",""Count"":0.534},",,,,,,,,"{""Name"":""syndic"",""Count"":0.534},",,,,,,,ragnar,0.011589342,0.003591624
spillproof,0.532492294,0.273734679,"{""Name"":""spillproof"",""Count"":0.532},",,,,,,,,"{""Name"":""spillproof"",""Count"":0.532},",,,,,,,hectic,0.025772035,0.003646508
overshort,0.531298039,0.584248833,"{""Name"":""overshort"",""Count"":0.531},",,,,,,,,"{""Name"":""overshort"",""Count"":0.531},",,,,,,,repress,0.161605234,0.003665442
reconvey,0.530886299,0.042139047,"{""Name"":""reconvey"",""Count"":0.531},",,,,,,,,"{""Name"":""reconvey"",""Count"":0.531},",,,,,,,tought,0.007065891,0.00372939
willful,0.530305239,0.625628811,"{""Name"":""willful"",""Count"":0.53},",,,,,,,,"{""Name"":""willful"",""Count"":0.53},",,,,,,,ionian,0.025211569,0.003789853
stump,0.529510596,0.576346943,"{""Name"":""stump"",""Count"":0.53},",,,,,,,,"{""Name"":""stump"",""Count"":0.53},",,,,,,,derrick,0.024809043,0.003798931
